,Area_Name,Year,Group_Name,Sub_Group_Name,Trial_of_Violent_Crimes_by_Courts_By_Confession,Trial_of_Violent_Crimes_by_Courts_By_trial,Trial_of_Violent_Crimes_by_Courts_Total
0,Andhra Pradesh,2001,TVC- Arson,10. Arson,20.0,517.0,537.0
1,Arunachal Pradesh,2001,TVC- Arson,10. Arson,0.0,3.0,3.0
2,Assam,2001,TVC- Arson,10. Arson,5.0,142.0,147.0
3,Bihar,2001,TVC- Arson,10. Arson,0.0,208.0,208.0
4,Chandigarh,2001,TVC- Arson,10. Arson,0.0,3.0,3.0
5,Chhattisgarh,2001,TVC- Arson,10. Arson,22.0,41.0,63.0
7,Delhi,2001,TVC- Arson,10. Arson,18.0,75.0,93.0
9,Gujarat,2001,TVC- Arson,10. Arson,2.0,228.0,230.0
10,Haryana,2001,TVC- Arson,10. Arson,3.0,106.0,109.0
11,Himachal Pradesh,2001,TVC- Arson,10. Arson,0.0,66.0,66.0
12,Jammu & Kashmir,2001,TVC- Arson,10. Arson,0.0,48.0,48.0
13,Jharkhand,2001,TVC- Arson,10. Arson,0.0,66.0,66.0
14,Karnataka,2001,TVC- Arson,10. Arson,0.0,181.0,181.0
15,Kerala,2001,TVC- Arson,10. Arson,2.0,92.0,94.0
17,Maharashtra,2001,TVC- Arson,10. Arson,4.0,666.0,670.0
18,Meghalaya,2001,TVC- Arson,10. Arson,0.0,8.0,8.0
19,Mizoram,2001,TVC- Arson,10. Arson,2.0,11.0,13.0
20,Nagaland,2001,TVC- Arson,10. Arson,0.0,0.0,0.0
21,Odisha,2001,TVC- Arson,10. Arson,0.0,190.0,190.0
23,Punjab,2001,TVC- Arson,10. Arson,2.0,16.0,18.0
25,Tamil Nadu,2001,TVC- Arson,10. Arson,34.0,395.0,429.0
26,Tripura,2001,TVC- Arson,10. Arson,0.0,17.0,17.0
29,West Bengal,2001,TVC- Arson,10. Arson,0.0,40.0,40.0
30,Andaman & Nicobar Islands,2002,TVC- Arson,10. Arson,0.0,1.0,1.0
31,Andhra Pradesh,2002,TVC- Arson,10. Arson,0.0,499.0,499.0
32,Assam,2002,TVC- Arson,10. Arson,5.0,125.0,130.0
33,Bihar,2002,TVC- Arson,10. Arson,0.0,148.0,148.0
34,Chandigarh,2002,TVC- Arson,10. Arson,0.0,1.0,1.0
35,Chhattisgarh,2002,TVC- Arson,10. Arson,30.0,55.0,85.0
37,Daman & Diu,2002,TVC- Arson,10. Arson,0.0,0.0,0.0
39,Goa,2002,TVC- Arson,10. Arson,0.0,18.0,18.0
40,Gujarat,2002,TVC- Arson,10. Arson,0.0,207.0,207.0
41,Haryana,2002,TVC- Arson,10. Arson,0.0,168.0,168.0
42,Himachal Pradesh,2002,TVC- Arson,10. Arson,7.0,48.0,55.0
43,Jammu & Kashmir,2002,TVC- Arson,10. Arson,0.0,35.0,35.0
45,Karnataka,2002,TVC- Arson,10. Arson,0.0,137.0,137.0
47,Madhya Pradesh,2002,TVC- Arson,10. Arson,0.0,696.0,696.0
48,Maharashtra,2002,TVC- Arson,10. Arson,2.0,684.0,686.0
49,Meghalaya,2002,TVC- Arson,10. Arson,0.0,4.0,4.0
50,Mizoram,2002,TVC- Arson,10. Arson,4.0,7.0,11.0
51,Nagaland,2002,TVC- Arson,10. Arson,0.0,1.0,1.0
52,Odisha,2002,TVC- Arson,10. Arson,0.0,218.0,218.0
54,Punjab,2002,TVC- Arson,10. Arson,0.0,44.0,44.0
57,Tamil Nadu,2002,TVC- Arson,10. Arson,32.0,495.0,527.0
59,Uttar Pradesh,2002,TVC- Arson,10. Arson,1.0,550.0,551.0
60,Uttarakhand,2002,TVC- Arson,10. Arson,0.0,17.0,17.0
61,West Bengal,2002,TVC- Arson,10. Arson,0.0,63.0,63.0
62,Andaman & Nicobar Islands,2003,TVC- Arson,10. Arson,0.0,3.0,3.0
63,Andhra Pradesh,2003,TVC- Arson,10. Arson,0.0,484.0,484.0
64,Arunachal Pradesh,2003,TVC- Arson,10. Arson,0.0,1.0,1.0
65,Assam,2003,TVC- Arson,10. Arson,8.0,173.0,181.0
66,Bihar,2003,TVC- Arson,10. Arson,0.0,233.0,233.0
67,Chandigarh,2003,TVC- Arson,10. Arson,0.0,2.0,2.0
68,Chhattisgarh,2003,TVC- Arson,10. Arson,0.0,57.0,57.0
70,Daman & Diu,2003,TVC- Arson,10. Arson,0.0,0.0,0.0
73,Gujarat,2003,TVC- Arson,10. Arson,1.0,313.0,314.0
74,Haryana,2003,TVC- Arson,10. Arson,0.0,122.0,122.0
75,Himachal Pradesh,2003,TVC- Arson,10. Arson,6.0,46.0,52.0
76,Jammu & Kashmir,2003,TVC- Arson,10. Arson,0.0,17.0,17.0
77,Jharkhand,2003,TVC- Arson,10. Arson,0.0,104.0,104.0
78,Karnataka,2003,TVC- Arson,10. Arson,0.0,236.0,236.0
79,Kerala,2003,TVC- Arson,10. Arson,2.0,128.0,130.0
81,Maharashtra,2003,TVC- Arson,10. Arson,0.0,663.0,663.0
82,Meghalaya,2003,TVC- Arson,10. Arson,0.0,2.0,2.0
83,Mizoram,2003,TVC- Arson,10. Arson,8.0,4.0,12.0
84,Nagaland,2003,TVC- Arson,10. Arson,0.0,0.0,0.0
85,Odisha,2003,TVC- Arson,10. Arson,0.0,246.0,246.0
87,Punjab,2003,TVC- Arson,10. Arson,0.0,44.0,44.0
90,Tamil Nadu,2003,TVC- Arson,10. Arson,9.0,404.0,413.0
93,Uttarakhand,2003,TVC- Arson,10. Arson,0.0,10.0,10.0
94,West Bengal,2003,TVC- Arson,10. Arson,0.0,82.0,82.0
96,Andhra Pradesh,2004,TVC- Arson,10. Arson,0.0,542.0,542.0
97,Arunachal Pradesh,2004,TVC- Arson,10. Arson,0.0,1.0,1.0
98,Assam,2004,TVC- Arson,10. Arson,20.0,173.0,193.0
99,Bihar,2004,TVC- Arson,10. Arson,0.0,286.0,286.0
100,Chandigarh,2004,TVC- Arson,10. Arson,0.0,1.0,1.0
101,Chhattisgarh,2004,TVC- Arson,10. Arson,7.0,70.0,77.0
105,Gujarat,2004,TVC- Arson,10. Arson,1.0,288.0,289.0
107,Himachal Pradesh,2004,TVC- Arson,10. Arson,0.0,54.0,54.0
110,Karnataka,2004,TVC- Arson,10. Arson,0.0,186.0,186.0
113,Maharashtra,2004,TVC- Arson,10. Arson,0.0,593.0,593.0
114,Manipur,2004,TVC- Arson,10. Arson,0.0,0.0,0.0
115,Meghalaya,2004,TVC- Arson,10. Arson,0.0,4.0,4.0
116,Mizoram,2004,TVC- Arson,10. Arson,7.0,32.0,39.0
117,Nagaland,2004,TVC- Arson,10. Arson,1.0,4.0,5.0
118,Odisha,2004,TVC- Arson,10. Arson,0.0,294.0,294.0
120,Punjab,2004,TVC- Arson,10. Arson,6.0,34.0,40.0
121,Rajasthan,2004,TVC- Arson,10. Arson,0.0,407.0,407.0
123,Tamil Nadu,2004,TVC- Arson,10. Arson,25.0,413.0,438.0
125,Uttar Pradesh,2004,TVC- Arson,10. Arson,0.0,399.0,399.0
127,West Bengal,2004,TVC- Arson,10. Arson,2.0,53.0,55.0
129,Andhra Pradesh,2005,TVC- Arson,10. Arson,0.0,612.0,612.0
130,Arunachal Pradesh,2005,TVC- Arson,10. Arson,0.0,3.0,3.0
131,Assam,2005,TVC- Arson,10. Arson,2.0,209.0,211.0
132,Bihar,2005,TVC- Arson,10. Arson,0.0,258.0,258.0
133,Chandigarh,2005,TVC- Arson,10. Arson,0.0,1.0,1.0
134,Chhattisgarh,2005,TVC- Arson,10. Arson,50.0,83.0,133.0
138,Gujarat,2005,TVC- Arson,10. Arson,1.0,208.0,209.0
139,Haryana,2005,TVC- Arson,10. Arson,0.0,84.0,84.0
140,Himachal Pradesh,2005,TVC- Arson,10. Arson,0.0,81.0,81.0
141,Jammu & Kashmir,2005,TVC- Arson,10. Arson,0.0,42.0,42.0
142,Jharkhand,2005,TVC- Arson,10. Arson,0.0,84.0,84.0
143,Karnataka,2005,TVC- Arson,10. Arson,0.0,193.0,193.0
146,Maharashtra,2005,TVC- Arson,10. Arson,0.0,622.0,622.0
147,Manipur,2005,TVC- Arson,10. Arson,0.0,0.0,0.0
148,Meghalaya,2005,TVC- Arson,10. Arson,1.0,3.0,4.0
149,Mizoram,2005,TVC- Arson,10. Arson,1.0,5.0,6.0
150,Nagaland,2005,TVC- Arson,10. Arson,0.0,0.0,0.0
151,Odisha,2005,TVC- Arson,10. Arson,0.0,205.0,205.0
153,Punjab,2005,TVC- Arson,10. Arson,0.0,25.0,25.0
155,Tamil Nadu,2005,TVC- Arson,10. Arson,5.0,506.0,511.0
157,Uttar Pradesh,2005,TVC- Arson,10. Arson,0.0,433.0,433.0
159,West Bengal,2005,TVC- Arson,10. Arson,0.0,59.0,59.0
160,Andhra Pradesh,2006,TVC- Arson,10. Arson,0.0,681.0,681.0
161,Arunachal Pradesh,2006,TVC- Arson,10. Arson,0.0,3.0,3.0
162,Assam,2006,TVC- Arson,10. Arson,5.0,228.0,233.0
163,Bihar,2006,TVC- Arson,10. Arson,11.0,387.0,398.0
164,Chandigarh,2006,TVC- Arson,10. Arson,0.0,1.0,1.0
165,Chhattisgarh,2006,TVC- Arson,10. Arson,25.0,75.0,100.0
166,Dadra & Nagar Haveli,2006,TVC- Arson,10. Arson,0.0,2.0,2.0
167,Daman & Diu,2006,TVC- Arson,10. Arson,0.0,2.0,2.0
170,Gujarat,2006,TVC- Arson,10. Arson,1.0,200.0,201.0
172,Himachal Pradesh,2006,TVC- Arson,10. Arson,0.0,52.0,52.0
173,Jammu & Kashmir,2006,TVC- Arson,10. Arson,0.0,52.0,52.0
174,Jharkhand,2006,TVC- Arson,10. Arson,0.0,141.0,141.0
175,Karnataka,2006,TVC- Arson,10. Arson,0.0,139.0,139.0
178,Maharashtra,2006,TVC- Arson,10. Arson,0.0,615.0,615.0
179,Manipur,2006,TVC- Arson,10. Arson,0.0,0.0,0.0
180,Meghalaya,2006,TVC- Arson,10. Arson,1.0,15.0,16.0
181,Mizoram,2006,TVC- Arson,10. Arson,0.0,25.0,25.0
182,Nagaland,2006,TVC- Arson,10. Arson,0.0,0.0,0.0
183,Odisha,2006,TVC- Arson,10. Arson,0.0,173.0,173.0
186,Rajasthan,2006,TVC- Arson,10. Arson,0.0,314.0,314.0
189,Uttar Pradesh,2006,TVC- Arson,10. Arson,0.0,322.0,322.0
191,West Bengal,2006,TVC- Arson,10. Arson,0.0,93.0,93.0
193,Andhra Pradesh,2007,TVC- Arson,10. Arson,0.0,861.0,861.0
194,Arunachal Pradesh,2007,TVC- Arson,10. Arson,0.0,3.0,3.0
195,Assam,2007,TVC- Arson,10. Arson,6.0,152.0,158.0
196,Bihar,2007,TVC- Arson,10. Arson,0.0,325.0,325.0
197,Chandigarh,2007,TVC- Arson,10. Arson,0.0,1.0,1.0
198,Chhattisgarh,2007,TVC- Arson,10. Arson,55.0,87.0,142.0
199,Daman & Diu,2007,TVC- Arson,10. Arson,0.0,1.0,1.0
202,Gujarat,2007,TVC- Arson,10. Arson,1.0,236.0,237.0
203,Haryana,2007,TVC- Arson,10. Arson,0.0,83.0,83.0
204,Himachal Pradesh,2007,TVC- Arson,10. Arson,0.0,37.0,37.0
205,Jammu & Kashmir,2007,TVC- Arson,10. Arson,0.0,45.0,45.0
207,Karnataka,2007,TVC- Arson,10. Arson,1.0,146.0,147.0
209,Madhya Pradesh,2007,TVC- Arson,10. Arson,0.0,615.0,615.0
210,Maharashtra,2007,TVC- Arson,10. Arson,0.0,600.0,600.0
211,Manipur,2007,TVC- Arson,10. Arson,0.0,0.0,0.0
212,Meghalaya,2007,TVC- Arson,10. Arson,1.0,4.0,5.0
213,Mizoram,2007,TVC- Arson,10. Arson,0.0,18.0,18.0
214,Nagaland,2007,TVC- Arson,10. Arson,0.0,0.0,0.0
215,Odisha,2007,TVC- Arson,10. Arson,0.0,159.0,159.0
220,Tamil Nadu,2007,TVC- Arson,10. Arson,0.0,288.0,288.0
224,West Bengal,2007,TVC- Arson,10. Arson,0.0,124.0,124.0
226,Andhra Pradesh,2008,TVC- Arson,10. Arson,0.0,651.0,651.0
227,Arunachal Pradesh,2008,TVC- Arson,10. Arson,0.0,0.0,0.0
228,Assam,2008,TVC- Arson,10. Arson,3.0,138.0,141.0
229,Bihar,2008,TVC- Arson,10. Arson,0.0,418.0,418.0
231,Chhattisgarh,2008,TVC- Arson,10. Arson,31.0,81.0,112.0
236,Gujarat,2008,TVC- Arson,10. Arson,5.0,206.0,211.0
237,Haryana,2008,TVC- Arson,10. Arson,0.0,118.0,118.0
238,Himachal Pradesh,2008,TVC- Arson,10. Arson,0.0,46.0,46.0
239,Jammu & Kashmir,2008,TVC- Arson,10. Arson,0.0,23.0,23.0
240,Jharkhand,2008,TVC- Arson,10. Arson,3.0,68.0,71.0
241,Karnataka,2008,TVC- Arson,10. Arson,5.0,192.0,197.0
244,Maharashtra,2008,TVC- Arson,10. Arson,0.0,698.0,698.0
245,Manipur,2008,TVC- Arson,10. Arson,0.0,0.0,0.0
246,Meghalaya,2008,TVC- Arson,10. Arson,0.0,10.0,10.0
247,Mizoram,2008,TVC- Arson,10. Arson,0.0,32.0,32.0
248,Nagaland,2008,TVC- Arson,10. Arson,0.0,0.0,0.0
249,Odisha,2008,TVC- Arson,10. Arson,0.0,187.0,187.0
253,Tamil Nadu,2008,TVC- Arson,10. Arson,2.0,308.0,310.0
257,West Bengal,2008,TVC- Arson,10. Arson,0.0,83.0,83.0
259,Andhra Pradesh,2009,TVC- Arson,10. Arson,0.0,478.0,478.0
260,Arunachal Pradesh,2009,TVC- Arson,10. Arson,0.0,0.0,0.0
261,Assam,2009,TVC- Arson,10. Arson,5.0,125.0,130.0
262,Bihar,2009,TVC- Arson,10. Arson,0.0,338.0,338.0
263,Chandigarh,2009,TVC- Arson,10. Arson,0.0,0.0,0.0
264,Chhattisgarh,2009,TVC- Arson,10. Arson,32.0,102.0,134.0
267,Gujarat,2009,TVC- Arson,10. Arson,2.0,181.0,183.0
268,Haryana,2009,TVC- Arson,10. Arson,0.0,91.0,91.0
269,Himachal Pradesh,2009,TVC- Arson,10. Arson,0.0,48.0,48.0
270,Jammu & Kashmir,2009,TVC- Arson,10. Arson,0.0,94.0,94.0
271,Jharkhand,2009,TVC- Arson,10. Arson,0.0,94.0,94.0
272,Karnataka,2009,TVC- Arson,10. Arson,12.0,110.0,122.0
274,Madhya Pradesh,2009,TVC- Arson,10. Arson,0.0,889.0,889.0
275,Maharashtra,2009,TVC- Arson,10. Arson,0.0,580.0,580.0
276,Manipur,2009,TVC- Arson,10. Arson,0.0,0.0,0.0
277,Meghalaya,2009,TVC- Arson,10. Arson,0.0,16.0,16.0
279,Nagaland,2009,TVC- Arson,10. Arson,1.0,5.0,6.0
280,Odisha,2009,TVC- Arson,10. Arson,0.0,266.0,266.0
282,Punjab,2009,TVC- Arson,10. Arson,1.0,33.0,34.0
283,Sikkim,2009,TVC- Arson,10. Arson,0.0,4.0,4.0
284,Tamil Nadu,2009,TVC- Arson,10. Arson,6.0,259.0,265.0
285,Tripura,2009,TVC- Arson,10. Arson,0.0,20.0,20.0
288,West Bengal,2009,TVC- Arson,10. Arson,0.0,84.0,84.0
290,Andhra Pradesh,2010,TVC- Arson,10. Arson,0.0,706.0,706.0
291,Arunachal Pradesh,2010,TVC- Arson,10. Arson,0.0,2.0,2.0
292,Assam,2010,TVC- Arson,10. Arson,2.0,84.0,86.0
294,Chandigarh,2010,TVC- Arson,10. Arson,0.0,1.0,1.0
295,Chhattisgarh,2010,TVC- Arson,10. Arson,30.0,111.0,141.0
296,Delhi,2010,TVC- Arson,10. Arson,1.0,6.0,7.0
297,Goa,2010,TVC- Arson,10. Arson,0.0,17.0,17.0
298,Gujarat,2010,TVC- Arson,10. Arson,2.0,212.0,214.0
300,Himachal Pradesh,2010,TVC- Arson,10. Arson,0.0,36.0,36.0
301,Jammu & Kashmir,2010,TVC- Arson,10. Arson,0.0,41.0,41.0
302,Jharkhand,2010,TVC- Arson,10. Arson,0.0,72.0,72.0
303,Karnataka,2010,TVC- Arson,10. Arson,0.0,129.0,129.0
304,Kerala,2010,TVC- Arson,10. Arson,0.0,124.0,124.0
306,Maharashtra,2010,TVC- Arson,10. Arson,0.0,607.0,607.0
307,Manipur,2010,TVC- Arson,10. Arson,0.0,0.0,0.0
308,Meghalaya,2010,TVC- Arson,10. Arson,0.0,5.0,5.0
309,Mizoram,2010,TVC- Arson,10. Arson,6.0,11.0,17.0
310,Nagaland,2010,TVC- Arson,10. Arson,1.0,2.0,3.0
311,Odisha,2010,TVC- Arson,10. Arson,0.0,301.0,301.0
315,Tamil Nadu,2010,TVC- Arson,10. Arson,0.0,222.0,222.0
319,West Bengal,2010,TVC- Arson,10. Arson,2.0,82.0,84.0
321,Andhra Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1391.0,1391.0
322,Arunachal Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,3.0,3.0
323,Assam,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,8.0,176.0,184.0
324,Bihar,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,10.0,2302.0,2312.0
325,Chandigarh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,18.0,18.0
326,Chhattisgarh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,158.0,235.0,393.0
328,Delhi,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,37.0,86.0,123.0
330,Gujarat,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,257.0,260.0
331,Haryana,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,13.0,397.0,410.0
332,Himachal Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,73.0,73.0
333,Jammu & Kashmir,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,299.0,299.0
334,Jharkhand,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,10.0,590.0,600.0
335,Karnataka,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1095.0,1095.0
336,Kerala,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,147.0,151.0
338,Maharashtra,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,16.0,792.0,808.0
340,Meghalaya,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,9.0,11.0
341,Mizoram,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,10.0,13.0
342,Nagaland,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,5.0,8.0
343,Odisha,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,802.0,802.0
346,Rajasthan,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1771.0,1771.0
347,Sikkim,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,2.0,3.0
348,Tamil Nadu,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,1750.0,1754.0
350,Uttar Pradesh,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,5336.0,5338.0
351,Uttarakhand,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,183.0,186.0
352,West Bengal,2001,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,329.0,330.0
353,Andaman & Nicobar Islands,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2.0,2.0
354,Andhra Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1401.0,1401.0
356,Assam,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,148.0,151.0
357,Bihar,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1520.0,1520.0
358,Chandigarh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,16.0,16.0
359,Chhattisgarh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,502.0,363.0,865.0
361,Daman & Diu,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2.0,2.0
362,Delhi,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,138.0,138.0
364,Gujarat,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,399.0,402.0
365,Haryana,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,391.0,394.0
366,Himachal Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,52.0,52.0
367,Jammu & Kashmir,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,321.0,321.0
369,Karnataka,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1124.0,1124.0
371,Madhya Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2579.0,2579.0
372,Maharashtra,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1191.0,1191.0
373,Manipur,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,4.0,4.0
374,Meghalaya,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,10.0,10.0
375,Mizoram,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,4.0,5.0
376,Nagaland,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,13.0,14.0
377,Odisha,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,757.0,757.0
379,Punjab,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,576.0,576.0
380,Rajasthan,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2313.0,2313.0
381,Sikkim,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,6.0,8.0
382,Tamil Nadu,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,51.0,1734.0,1785.0
384,Uttar Pradesh,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,6372.0,6372.0
385,Uttarakhand,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,203.0,203.0
386,West Bengal,2002,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,305.0,305.0
387,Andaman & Nicobar Islands,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1.0,1.0
388,Andhra Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1322.0,1322.0
389,Arunachal Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1.0,1.0
390,Assam,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,174.0,179.0
391,Bihar,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2236.0,2236.0
392,Chandigarh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,17.0,17.0
393,Chhattisgarh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,457.0,457.0
395,Daman & Diu,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2.0,2.0
398,Gujarat,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,588.0,590.0
399,Haryana,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,483.0,486.0
400,Himachal Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,66.0,66.0
401,Jammu & Kashmir,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,199.0,200.0
402,Jharkhand,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,982.0,982.0
403,Karnataka,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1377.0,1377.0
404,Kerala,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,198.0,198.0
406,Maharashtra,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,20.0,1202.0,1222.0
408,Meghalaya,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,10.0,10.0
409,Mizoram,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,6.0,13.0,19.0
410,Nagaland,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,10.0,10.0
411,Odisha,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1117.0,1117.0
413,Punjab,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,560.0,560.0
416,Tamil Nadu,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,123.0,1976.0,2099.0
418,Uttar Pradesh,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,5129.0,5130.0
419,Uttarakhand,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,253.0,255.0
420,West Bengal,2003,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,383.0,383.0
422,Andhra Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1261.0,1261.0
423,Arunachal Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,5.0,5.0
424,Assam,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,177.0,181.0
425,Bihar,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,2445.0,2446.0
426,Chandigarh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,12.0,12.0
427,Chhattisgarh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,22.0,451.0,473.0
429,Daman & Diu,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,3.0,3.0
432,Gujarat,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,5.0,592.0,597.0
433,Haryana,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,439.0,442.0
434,Himachal Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,72.0,72.0
435,Jammu & Kashmir,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,217.0,217.0
437,Karnataka,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1735.0,1735.0
438,Kerala,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,297.0,297.0
440,Maharashtra,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,4.0,1358.0,1362.0
441,Manipur,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,0.0,0.0
442,Meghalaya,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,8.0,8.0
443,Mizoram,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,50.0,53.0
444,Nagaland,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,3.0,33.0,36.0
445,Odisha,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,954.0,954.0
446,Puducherry,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,36.0,36.0
447,Punjab,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,123.0,392.0,515.0
448,Rajasthan,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,2154.0,2155.0
450,Tamil Nadu,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,35.0,1841.0,1876.0
452,Uttar Pradesh,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,1.0,5575.0,5576.0
454,West Bengal,2004,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,282.0,282.0
456,Andhra Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,1157.0,1157.0
457,Arunachal Pradesh,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,4.0,4.0
458,Assam,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,2.0,193.0,195.0
459,Bihar,2005,TVC- Attempt to Commit Murder,02. Attempt to Murder,0.0,2769.0,2769.0
