,Area_Name,Year,Group_Name,Sub_Group_Name,Loss_of_Property_1_10_Crores,Loss_of_Property_10_25_Crores,Loss_of_Property_25_50_Crores,Loss_of_Property_50_100_Crores,Loss_of_Property_Above_100_Crores
335,Chandigarh,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
336,Chhattisgarh,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
337,Gujarat,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,16.0,0.0,0.0,0.0,0.0
338,Himachal Pradesh,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
339,Jammu & Kashmir,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
340,Jharkhand,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,5.0,0.0,0.0,0.0,0.0
341,Karnataka,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
342,Madhya Pradesh,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
344,Manipur,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
345,Meghalaya,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
346,Mizoram,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1.0,0.0,0.0,0.0,0.0
347,Nagaland,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,11.0,0.0,0.0,0.0,0.0
348,Odisha,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
351,Uttar Pradesh,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
352,West Bengal,2006,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
353,Andhra Pradesh,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1.0,0.0,0.0,0.0,0.0
354,Arunachal Pradesh,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
355,Assam,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
356,Bihar,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
357,Chandigarh,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1.0,0.0,0.0,0.0,0.0
358,Chhattisgarh,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
361,Gujarat,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,6.0,0.0,0.0,0.0,0.0
362,Haryana,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
363,Himachal Pradesh,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
364,Jammu & Kashmir,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,12.0,0.0,0.0,0.0,0.0
365,Karnataka,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
367,Madhya Pradesh,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
368,Maharashtra,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,34.0,3.0,0.0,0.0,1.0
369,Manipur,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
370,Meghalaya,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
371,Mizoram,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
372,Nagaland,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,6.0,0.0,0.0,0.0,0.0
373,Odisha,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
376,Tamil Nadu,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,2.0,0.0,0.0,0.0,0.0
377,Tripura,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
378,West Bengal,2007,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,2.0,0.0,0.0,1.0,0.0
379,Andhra Pradesh,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,2.0,0.0,0.0,0.0,0.0
380,Arunachal Pradesh,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
381,Assam,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
382,Bihar,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
383,Chandigarh,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
384,Chhattisgarh,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
386,Gujarat,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,58.0,0.0,0.0,0.0,0.0
387,Haryana,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
388,Himachal Pradesh,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
389,Jammu & Kashmir,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
390,Karnataka,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,10.0,0.0,0.0,0.0,0.0
392,Maharashtra,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,30.0,0.0,0.0,0.0,0.0
393,Manipur,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
394,Meghalaya,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
395,Mizoram,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,23.0,0.0,0.0,0.0,0.0
396,Nagaland,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
397,Odisha,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
400,Tamil Nadu,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
402,West Bengal,2008,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
403,Andhra Pradesh,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1.0,0.0,0.0,0.0,0.0
404,Arunachal Pradesh,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
405,Assam,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
406,Bihar,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
407,Chandigarh,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
408,Chhattisgarh,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
409,Delhi,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,43.0,6.0,5.0,4.0,5.0
410,Goa,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,1.0,0.0,0.0
411,Gujarat,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,15.0,0.0,0.0,0.0,0.0
412,Haryana,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
413,Himachal Pradesh,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1.0,0.0,0.0,0.0,0.0
414,Jammu & Kashmir,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
415,Karnataka,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,4.0,0.0,0.0,0.0,0.0
417,Madhya Pradesh,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,16.0,0.0,0.0,0.0,0.0
418,Maharashtra,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,21.0,2.0,2.0,1.0,0.0
419,Manipur,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
420,Meghalaya,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
421,Nagaland,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,6.0,0.0,0.0,0.0,0.0
422,Odisha,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
423,Tamil Nadu,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,2.0,0.0,1.0,2.0,0.0
425,West Bengal,2009,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1.0,0.0,0.0,0.0,0.0
426,Andhra Pradesh,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,4.0,3.0,3.0,15.0,0.0
427,Arunachal Pradesh,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
428,Bihar,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
429,Chandigarh,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,2.0,1.0,0.0,0.0,0.0
430,Chhattisgarh,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
432,Gujarat,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,9.0,0.0,0.0,0.0,0.0
433,Himachal Pradesh,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
434,Jammu & Kashmir,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
435,Jharkhand,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,20.0,0.0,0.0,0.0
436,Karnataka,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,461.0,1.0,1.0,1.0,0.0
437,Kerala,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,6.0,0.0,0.0,0.0,0.0
439,Maharashtra,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,13.0,6.0,2.0,0.0,1.0
440,Manipur,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
441,Meghalaya,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
442,Nagaland,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,10.0,0.0,0.0,0.0,0.0
443,Odisha,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,0.0,0.0,0.0,0.0,0.0
445,Tamil Nadu,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,9.0,0.0,0.0,0.0,0.0
447,West Bengal,2010,Serious Fraud - Criminal Breach of Trust,1. Criminal Breach of Trust,1.0,0.0,0.0,0.0,0.0
